### GRB	ra	dec	Error radius	Trigger	T90	eT90	T90 start	flux64	err flux64	T50	eT50	T50 start
GRB161015400	170.45	58.2	15.13	57676.400012779	0.192	0.847	-0.096	6.5109	1.3984	0.064	0.072	-0.064
GRB161026373	67.7	41.85	11.68	57687.373105102	0.112	0.21	-0.032	5.8574	1.0767	0.048	0.051	-0.016
GRB161115745	351.59	58.06	8.44	57707.744810468	0.032	2.24	-0.048	6.2573	0.8757	0.032	0.045	-0.048
GRB161121186	130.39	39.73	17.76	57713.185848375	0.128	0.64	-0.128	2.7172	0.8773	0.064	0.487	-0.128
GRB161217128	216.63	51.98	7.56	57739.127613266	3.584	2.36	-1.536	3.124	1.0173	1.536	0.923	-1.024
GRB161227498	79.5	39.15	4.88	57749.498127478	2.56	1.68	-0.448	7.3427	1.1327	0.704	0.231	0.064
GRB170101374	157.49	28.9	9.07	57754.374003577	2.304	0.689	-0.576	3.8352	1.2153	1.088	0.32	-0.192
GRB170111760	117.61	61.52	14.74	57764.760140332	0.832	0.781	-0.704	6.5316	1.1745	0.128	0.091	-0.128
GRB170121133	241.99	13.81	9.08	57774.132546581	1.6	0.905	-1.472	7.1102	1.1221	0.576	0.389	-0.64
GRB170124528	10.85	11.02	3.83	57777.528113792	0.448	0.559	-0.32	6.9153	1.3474	0.128	0.091	-0.032
GRB170125022	264.14	28.58	12.65	57778.021686389	3.904	1.12	-2.432	2.6541	0.926	1.6	0.462	-1.6
GRB170203486	245.09	-0.51	14.06	57787.486410358	0.336	0.506	-0.064	6.8885	1.3493	0.144	0.116	-0.048
GRB170206453	212.79	14.48	0.85	57790.452751111	1.168	0.102	0.208	56.9466	2.0659	0.576	0.045	0.496
GRB170219002	54.843	50.072	1.41	57803.002165776	0.096	0.437	-0.032	35.242	2.3549	0.048	0.036	-0.016
GRB170222209	292.956	28.211	0.8	57806.209017133	1.664	0.143	-0.064	17.7821	1.8713	0.832	0.091	0.256
GRB170302166	154.25	29.39	12.18	57814.165558823	3.84	1.9	-0.768	6.8015	1.1846	1.472	0.181	-0.32
GRB170305256	38.66	12.09	3.66	57817.256328523	0.448	0.072	-0.032	31.0085	1.6179	0.128	0.045	0.032
GRB170318644	284.306	6.2987	0.002	57830.644364447	4.096	2.319	-2.112	3.7851	1.0556	1.152	0.692	-0.576
GRB170325331	127.483	20.526	0.03	57837.331227327	0.576	0.326	-0.064	8.0745	1.2088	0.128	0.091	0.0
GRB170403583	259.339	18.373	0.7	57846.582844879	0.48	0.378	-0.096	16.1144	1.4708	0.08	0.058	0.0
GRB170430204	34.88	-15.17	62.38	57873.204395215	0.384	0.773	-0.192	6.6459	1.086	0.064	0.231	-0.128
GRB170504734	292.76	27.64	9.71	57877.734386405	0.704	1.139	-0.832	4.2877	1.227	0.256	0.429	-0.448
GRB170506169	112.26	51.87	9.69	57879.168613439	0.832	1.95	-0.448	7.7342	1.6302	0.32	0.32	0.0
GRB170511477	94.9	56.56	6.79	57884.477026888	2.304	1.28	-0.768	7.0188	3.1479	1.408	0.975	-0.512
GRB170520202	244.54	-5.29	16.51	57893.202230329	6.144	5.081	-4.096	5.0094	0.9594	1.28	0.572	-0.768
GRB170604603	340.44	40.67	4.1	57908.602836647	0.32	0.143	-0.064	12.7764	0.9614	0.192	0.091	0.0
GRB170708046	335.835	19.798	0.5	57942.045963608	0.144	0.045	-0.016	55.6362	1.9829	0.064	0.023	0.0
GRB170709334	310.04	2.2	7.49	57943.333610873	1.856	0.898	-0.576	10.0937	1.0484	0.704	0.091	0.0
GRB170711713	278.61	17.24	7.96	57945.712922188	1.152	1.288	-0.832	5.5665	0.9214	0.384	0.143	-0.192
GRB170714049	18.2	29.54	5.35	57948.049202813	0.224	0.396	-0.224	6.0685	0.7532	0.032	0.045	-0.032
GRB170723882	212.58	39.83	14.59	57957.882155696	5.376	3.727	-4.096	4.031	0.9633	1.792	0.724	-2.048
GRB170803172	76.5	23.97	13.3	57968.171710044	6.656	3.338	-0.768	4.9458	1.3506	4.096	1.448	-0.256
GRB170816599	350.841	12.853	0.5	57981.599351331	1.6	0.143	-0.064	26.5651	1.5493	0.192	0.091	0.0
GRB170817908	83.03	50.07	3.69	57982.908037429	2.624	0.181	0.0	10.3739	1.612	1.28	0.181	0.448
GRB170818137	297.22	6.35	11.54	57983.137036799	0.576	2.519	-0.064	14.2539	1.5469	0.192	0.181	-0.064
GRB170826369	64.338	21.074	0.856	57991.36883697	0.256	0.091	-0.16	16.179	1.771	0.096	0.045	-0.032
GRB170901007	23.97	-1.6	18.35	57997.006979389	5.888	2.673	-0.768	4.4768	1.172	2.304	0.724	-0.256
GRB170912985	83.57	7.2	16.51	58008.984868895	0.48	1.0	-0.448	6.9194	1.0165	0.064	0.072	-0.064
GRB170915520	259.83	-10.56	5.79	58011.51963271	0.64	0.87	-0.064	5.7928	0.9705	0.32	0.143	0.0
GRB170918139	36.56	3.52	17.81	58014.139153701	0.128	0.163	-0.032	7.1822	1.4642	0.032	0.045	-0.032
GRB171007498	135.544	42.849	0.005	58033.49837852	3.456	0.345	-1.408	2.3505	0.7373	0.96	0.286	-0.832
